Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
01/01/2017;CONJUNTO EOLICO AGUA DOCE;21,27;8,11;-61,87
01/01/2017;CONJUNTO EOLICO ALVORADA;11,83;17,39;47,00
01/01/2017;CONJUNTO EÓLICO AMAZONAS;99,04;114,68;15,79
01/01/2017;CONJUNTO EOLICO ASA BRANCA;72,29;119,06;64,70
01/01/2017;CONJUNTO EOLICO ATLANTICA;14,88;25,18;69,22
01/01/2017;CONJUNTO EOLICO BAIXA DO FEIJAO;64,31;83,45;29,76
01/01/2017;CONJUNTO EÓLICO BLOCO SUL;53,71;84,03;56,45
01/01/2017;CONJUNTO EOLICO BOM JARDIM DA SERRA;5,73;9,37;63,53
01/01/2017;CONJUNTO EOLICO BRISA POTIGUAR I;107,85;57,59;-46,60
01/01/2017;CONJUNTO EOLICO BW GUIRAPA I;30,35;28,18;-7,15
01/01/2017;CONJUNTO EOLICO BW GUIRAPA II;27,92;26,14;-6,38
01/01/2017;CONJUNTO EOLICO CABEÇO PRETO II;31,44;45,28;44,02
01/01/2017;CONJUNTO EOLICO CAETES II;56,58;77,47;36,92
01/01/2017;CONJUNTO EOLICO CAETITE;25,44;28,22;10,93
01/01/2017;CONJUNTO EOLICO CAETITE 123;31,92;32,81;2,79
01/01/2017;CONJUNTO EOLICO CAETITE A;9,75;17,75;82,05
01/01/2017;CONJUNTO EOLICO CALANGO 1;34,54;31,29;-9,41
01/01/2017;CONJUNTO EOLICO CALANGO 2;48,48;42,97;-11,37
01/01/2017;CONJUNTO EOLICO CAMPO DOS VENTOS;48,02;65,06;35,49
01/01/2017;CONJUNTO EOLICO CAMPO FORMOSO;92,77;134,32;44,79
01/01/2017;CONJUNTO EOLICO CARCARA II;59,52;68,69;15,41
01/01/2017;CONJUNTO EOLICO CHAPADA I;110,00;98,40;-10,55
01/01/2017;CONJUNTO EOLICO CHAPADA II;72,85;112,79;54,82
01/01/2017;CONJUNTO EOLICO CHAPADA III;109,98;113,31;3,03
01/01/2017;CONJUNTO EOLICO CHAPADA IV;43,69;43,70;0,02
01/01/2017;CONJUNTO EOLICO CURVA DOS VENTOS;13,15;22,08;67,91
01/01/2017;CONJUNTO EOLICO DOS ARACAS;27,48;49,65;80,68
01/01/2017;CONJUNTO EOLICO GENTIO DO OURO I;37,98;44,61;17,46
01/01/2017;CONJUNTO EOLICO GUIRAPA;24,38;26,35;8,08
01/01/2017;CONJUNTO EOLICO ITAREMA V;114,08;140,80;23,42
01/01/2017;CONJUNTO EOLICO LICINIO DE ALMEIDA;31,90;34,75;8,93
01/01/2017;CONJUNTO EOLICO LIVRAMENTO 2;28,00;37,12;32,57
01/01/2017;CONJUNTO EOLICO MACACOS;37,42;36,43;-2,65
01/01/2017;CONJUNTO EOLICO MODELO;36,12;0,00;-100,00
