Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
01/01/2017;ANGRA;1.990,00;1.986,63;-0,17
01/01/2017;ALTA MOGIANA;29;29;0
01/01/2017;ALTOS;0;0;0
01/01/2017;ARACATI;0;0;0
01/01/2017;B.FLUMINENSE;509,17;496,71;-2,45
01/01/2017;B.L.SOBRINHO;67,5;66,54;-1,42
01/01/2017;BAHIA I;0;0;0
01/01/2017;BATURITE;0;0;0
01/01/2017;BELO JARDIM;0;0;0
01/01/2017;C.S.TUBARAO;197;145,62;-26,08
01/01/2017;CAMPO MAIOR;0;0;0
01/01/2017;CAMPOS;0;0;0
01/01/2017;CANDIOTA III;0;0;0
01/01/2017;CAUCAIA;0;0;0
01/01/2017;CELSO FURTADO;150;148,33;-1,11
01/01/2017;COCAL;0;0;0
01/01/2017;COLORADO;21;21;0
01/01/2017;CRATO;0;0;0
01/01/2017;DAIA;0;0;0
01/01/2017;EUZEBIO ROCHA;210;202,2;-3,71
01/01/2017;FER.GASPARIAN;0;0;0
01/01/2017;GERAMAR I;0;0;0
01/01/2017;GERAMAR II;0;0;0
01/01/2017;GOIANIA II;0;0;0
01/01/2017;GOV.L.BRIZOLA;535,42;508,1;-5,1
01/01/2017;IGARAPE;0;0;0
01/01/2017;IGUATU;0;0;0
01/01/2017;JAIME BELTRAO;0;0;0
01/01/2017;JALLES MACHAD;0;0;0
01/01/2017;JE.SO.PEREIRA;150;133;-11,33
01/01/2017;JUAZEIRO NORT;0;0;0
01/01/2017;JUIZ DE FORA;0;0;0
01/01/2017;L.C.PRESTES;0;0;0
01/01/2017;LUIZ O R MELO;204;201,05;-1,45
01/01/2017;MARAMBAIA;0;0;0
01/01/2017;NAZARIA;0;0;0
01/01/2017;NO.FLUMINENSE;731,5;730,72;-0,11
01/01/2017;NUTEPA;0;0;0
01/01/2017;P.MEDICI;120;120,78;0,65
01/01/2017;PALMEIRAS GO;0;0;0
01/01/2017;PETROLINA;0;0;0
01/01/2017;PIE-RP;0;0;0
01/01/2017;PORTO PECEM I;0;0;0
01/01/2017;PORTO PECEM II;0;0;0
01/01/2017;POTIGUAR;0;0;0
01/01/2017;POTIGUAR III;0;0;0
01/01/2017;RIO MADEIRA;0;0;0
01/01/2017;ROMULOALMEIDA;31,25;30,26;-3,17
01/01/2017;S.JOSE COLINA;8;0;-100
01/01/2017;SANTA CRUZ;350;321,79;-8,06
01/01/2017;SANTAREM;0;0;0
01/01/2017;SAO JERONIMO;0;0;0
01/01/2017;SEPE TIARAJU;0;0;0
01/01/2017;T.PONTA NEGRA;64;65,7;2,66
01/01/2017;TER BRASILIA;0;0;0
01/01/2017;TERMOCABO;0;0;0
01/01/2017;TERMOMANAUS;0;0;0
01/01/2017;TERMONORDESTE;17,5;17,8;1,71
01/01/2017;TERMONORTE II;0;0;0
01/01/2017;TERMOPARAIBA;17,5;17,53;0,17
01/01/2017;TERMOPERNAMBU;532;533,14;0,21
01/01/2017;TQUIRINOPOLIS;0;0;0
01/01/2017;U. ALEGRETE;0;0;0
01/01/2017;U. W.ARJONA;0;0;0
01/01/2017;U.ARAUCARIA;0;0;0
01/01/2017;U.CHARQUEADAS;0;0;0
01/01/2017;U.JLACERDA-A;30;34,72;15,73
01/01/2017;U.JLACERDA-B;90;91,06;1,18
01/01/2017;U.JLACERDA-C;280;280,72;0,26
01/01/2017;U.NV.VENECIA2;0;0;0
01/01/2017;U.PIRATININGA;0;0;0
01/01/2017;U.URUGUAIANA;0;0;0
01/01/2017;US. FIGUEIRA;7;7,02;0,29
01/01/2017;US.CAMACARI;0;0;0
01/01/2017;US.CARIOBA;0;0;0
01/01/2017;US.MANDU;15;0;-100
01/01/2017;UT CIDADE NOV;0;0;0
01/01/2017;UT DISTRITO A;0;0;0
01/01/2017;UT DISTRITO B;0;0;0
01/01/2017;UT ERB CANDEI;0;0;0
01/01/2017;UT GUA.TANABI 2;0;0;0
01/01/2017;UT INTERLAGOS;0;0;0
01/01/2017;UT MARIO LAGO;118,5;115,52;-2,51
01/01/2017;UT MAUA BL 5A;0;0;0
01/01/2017;UT MAUA BL 5B;0;0;0
01/01/2017;UT SAO JOSE 1;0;0;0
01/01/2017;UT SAO JOSE 2;0;0;0
01/01/2017;UT. FORTALEZA;52,5;54,13;3,1
01/01/2017;UT. KLABIN CE;190;187,49;-1,32
01/01/2017;UT.AUR.CHAVES;210;207,58;-1,15
01/01/2017;UT.CAM.GRANDE;0;0;0
01/01/2017;UT.MARACANAU1;0;0;0
01/01/2017;UT.MARANHAO 3;519;496,37;-4,36
01/01/2017;UT.MARANHAO 4;338;322,62;-4,55
01/01/2017;UT.MARANHAO 5;338;322,75;-4,51
01/01/2017;UT.PARNAIBA 4;0;0;0
01/01/2017;UT.PECEM;0;0;0
01/01/2017;UT.POR.ITAQUI;67,5;0;-100
01/01/2017;UT.TERMOCEARA;24;23,66;-1,42
01/01/2017;UTE AMANDINA;105;26,29;-74,96
01/01/2017;UTE ANGELICA;70;26,45;-62,21
01/01/2017;UTE APARECIDA;0;0;0
01/01/2017;UTE ARAGUAIA;11,67;12,15;4,11
01/01/2017;UTE AREMBEPE;0;0;0
01/01/2017;UTE ATLANTICO;390;349,26;-10,45
01/01/2017;UTE BERNECK;5;1,2;-76
01/01/2017;UTE BOA VISTA;0;0;0
01/01/2017;UTE CACU I;0;0;0
01/01/2017;UTE CMPC;15;8,02;-46,53
01/01/2017;UTE COCAL 2;50;0;-100
01/01/2017;UTE CODORA;0;0;0
01/01/2017;UTE CRIST ROCHA;48;48,52;1,08
01/01/2017;UTE CUIABA;0;0;0
01/01/2017;UTE ELDORADO BR;0;0;0
01/01/2017;UTE ELECTRON;0;0;0
01/01/2017;UTE FLORES 1;0;0;0
01/01/2017;UTE FLORES 2;0;0;0
