Data;Sistema;GWh
02/06/2015;Sudeste/Centro-Oeste;0
02/06/2015;Sul;5,2
02/06/2015;Nordeste;39,2
02/06/2015;Norte;0
02/06/2015;Sistema Interligado Nacional;44,4
03/06/2015;Sudeste/Centro-Oeste;0
03/06/2015;Sul;8
03/06/2015;Nordeste;45,8
03/06/2015;Norte;0
03/06/2015;Sistema Interligado Nacional;53,8
04/06/2015;Sudeste/Centro-Oeste;0
04/06/2015;Sul;2,9
04/06/2015;Nordeste;38,8
04/06/2015;Norte;0
04/06/2015;Sistema Interligado Nacional;41,8
05/06/2015;Sudeste/Centro-Oeste;0
05/06/2015;Sul;10,6
05/06/2015;Nordeste;37,4
05/06/2015;Norte;0
05/06/2015;Sistema Interligado Nacional;48
06/06/2015;Sudeste/Centro-Oeste;0
06/06/2015;Sul;16,1
06/06/2015;Nordeste;47,8
06/06/2015;Norte;0
06/06/2015;Sistema Interligado Nacional;63,9
07/06/2015;Sudeste/Centro-Oeste;0
07/06/2015;Sul;7,1
07/06/2015;Nordeste;40
07/06/2015;Norte;0
07/06/2015;Sistema Interligado Nacional;47,1
08/06/2015;Sudeste/Centro-Oeste;0
08/06/2015;Sul;3,8
08/06/2015;Nordeste;34,1
08/06/2015;Norte;0
08/06/2015;Sistema Interligado Nacional;37,8
09/06/2015;Sudeste/Centro-Oeste;0
09/06/2015;Sul;6
09/06/2015;Nordeste;35
09/06/2015;Norte;0
09/06/2015;Sistema Interligado Nacional;41
10/06/2015;Sudeste/Centro-Oeste;0
10/06/2015;Sul;7,3
10/06/2015;Nordeste;44
10/06/2015;Norte;0
10/06/2015;Sistema Interligado Nacional;51,3
11/06/2015;Sudeste/Centro-Oeste;0
11/06/2015;Sul;11,7
11/06/2015;Nordeste;52,1
11/06/2015;Norte;0
11/06/2015;Sistema Interligado Nacional;63,8
12/06/2015;Sudeste/Centro-Oeste;0
12/06/2015;Sul;7
12/06/2015;Nordeste;42,5
12/06/2015;Norte;0
12/06/2015;Sistema Interligado Nacional;49,5
13/06/2015;Sudeste/Centro-Oeste;0
13/06/2015;Sul;4,6
13/06/2015;Nordeste;46,6
13/06/2015;Norte;0
13/06/2015;Sistema Interligado Nacional;51,2
14/06/2015;Sudeste/Centro-Oeste;0
14/06/2015;Sul;10,6
14/06/2015;Nordeste;34,5
14/06/2015;Norte;0
14/06/2015;Sistema Interligado Nacional;45,1
15/06/2015;Sudeste/Centro-Oeste;0
15/06/2015;Sul;22,9
15/06/2015;Nordeste;31,1
15/06/2015;Norte;0
15/06/2015;Sistema Interligado Nacional;54
16/06/2015;Sudeste/Centro-Oeste;0
16/06/2015;Sul;13,7
16/06/2015;Nordeste;46,1
16/06/2015;Norte;0
16/06/2015;Sistema Interligado Nacional;59,8
17/06/2015;Sudeste/Centro-Oeste;0
17/06/2015;Sul;8,5
17/06/2015;Nordeste;47,8
17/06/2015;Norte;0
17/06/2015;Sistema Interligado Nacional;56,3
18/06/2015;Sudeste/Centro-Oeste;0
18/06/2015;Sul;17,2
18/06/2015;Nordeste;40,6
18/06/2015;Norte;0
18/06/2015;Sistema Interligado Nacional;57,7
19/06/2015;Sudeste/Centro-Oeste;0
19/06/2015;Sul;8,5
19/06/2015;Nordeste;43,3
19/06/2015;Norte;0
19/06/2015;Sistema Interligado Nacional;51,8
20/06/2015;Sudeste/Centro-Oeste;0
20/06/2015;Sul;14,7
20/06/2015;Nordeste;54,3
20/06/2015;Norte;0
20/06/2015;Sistema Interligado Nacional;69
21/06/2015;Sudeste/Centro-Oeste;0
21/06/2015;Sul;4
21/06/2015;Nordeste;49,6
21/06/2015;Norte;0
21/06/2015;Sistema Interligado Nacional;53,6
22/06/2015;Sudeste/Centro-Oeste;0
22/06/2015;Sul;6,2
