Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
06/01/2017;CURUA-UNA;16,9;18,0;6,47
06/01/2017;ESTREITO;270,8;276,7;2,18
06/01/2017;FERREI.GOMES;55,6;54,1;-2,63
06/01/2017;PCH CELPA;0,0;0,0;0,00
06/01/2017;PCH CELTINS;0,0;0,0;0,00
06/01/2017;PCH CERON;0,0;0,0;0,00
06/01/2017;PCH ENORTE;0,0;0,0;0,00
06/01/2017;STO.ANT.JARI;76,4;78,2;2,33
06/01/2017;UHE BALBINA;60,0;60,7;1,20
06/01/2017;US. TUCURUI;1.506,7;1.622,6;7,69
06/01/2017;US.COA.NUNES;72,0;64,9;-9,87
06/01/2017;CONJUNTO HIDRELETRICO BARREIRAS;32,1;32,1;0,06
06/01/2017;ITAPEBI US;57,6;47,2;-18,02
06/01/2017;P.DO CAVALO;2,5;2,7;6,80
06/01/2017;PCH CHESF;0,0;0,0;0,00
06/01/2017;PCH COELBA;0,0;0,0;0,00
06/01/2017;PCH S.GRANDE;11,7;11,7;0,00
06/01/2017;U. A. SALES;0,0;2,1;0,00
06/01/2017;U.SOBRADINHO;146,9;148,3;0,97
06/01/2017;UB.ESPERANCA;94,0;98,4;4,64
06/01/2017;US. L.GONZAGA;347,7;356,7;2,56
06/01/2017;USINA PA-I;0,0;0,0;0,00
06/01/2017;USINA PA-II;0,0;0,0;0,00
06/01/2017;USINA PA-III;0,0;0,0;0,00
06/01/2017;USINA PA-IV;838,7;812,4;-3,13
06/01/2017;USINA XINGO;947,9;971,2;2,46
06/01/2017;ITAIPU 50 HZ;4.529,3;4.601,5;1,59
06/01/2017;14 DE JULHO;71,9;81,0;12,70
06/01/2017;ALZIR SANTOS;69,4;55,3;-20,30
06/01/2017;BENTO MUNHOZ;579,9;540,2;-6,85
06/01/2017;CASTRO ALVES;105,8;129,0;22,02
06/01/2017;CONJUNTO HIDRELETRICO BOCA DO MONTE;16,2;25,6;58,20
06/01/2017;CONJUNTO HIDRELETRICO LAJEADO GRANDE;22,9;69,0;201,97
06/01/2017;FUNDAO;108,6;81,9;-24,54
06/01/2017;G.JOSE RICHA;853,5;836,3;-2,02
06/01/2017;ITAUBA;196,5;220,8;12,33
06/01/2017;JACUI;167,1;159,7;-4,48
06/01/2017;NEY BRAGA;824,0;729,6;-11,45
06/01/2017;PASSO REAL;80,7;78,6;-2,59
06/01/2017;PASSO S JOAO;76,0;72,2;-5,05
06/01/2017;PCH ANGELINA;14,1;14,1;0,00
06/01/2017;PCH BLUMENAU;56,8;56,8;0,02
06/01/2017;PCH CANASTRA;23,1;24,4;5,36
06/01/2017;PCH CEEE;13,0;22,4;72,31
06/01/2017;PCH CELESC;164,6;164,6;0,00
06/01/2017;PCH CHOPIM;28,0;28,0;0,00
06/01/2017;PCH COPEL;89,7;89,7;0,00
06/01/2017;PCH CURITIBA;21,7;21,7;0,00
06/01/2017;PCH LUDESA;10,0;10,0;0,00
06/01/2017;PCH PBRANCO;140,0;140,0;0,00
06/01/2017;PCH PFUNDO;0,0;0,0;0,00
06/01/2017;PCH RGE;0,0;174,0;0,00
06/01/2017;PCH TAQUARA;11,0;0,0;-100,00
06/01/2017;PCH XANXERE;14,1;14,1;0,00
06/01/2017;SALTO PILAO;191,0;189,6;-0,73
06/01/2017;SAO JOSE;28,7;36,6;27,25
06/01/2017;STA. CLARA PR;97,4;74,2;-23,80
06/01/2017;U.BARRAGRANDE;302,2;257,0;-14,98
06/01/2017;U.C NOVOS;604,7;629,5;4,10
06/01/2017;U.D.FRANCISCA;101,5;101,4;-0,15
06/01/2017;U.FOZ CHAPECO;416,8;435,8;4,56
06/01/2017;U.ITA;732,2;802,6;9,61
06/01/2017;U.MACHADINHO;502,0;496,4;-1,12
06/01/2017;U.MONTE CLARO;91,1;114,9;26,18
06/01/2017;U.PASSO FUNDO;161,0;161,8;0,49
06/01/2017;U.QUEB.QUEIXO;77,1;98,4;27,51
06/01/2017;U.S.OSORIO;676,6;661,2;-2,28
06/01/2017;U.S.SANTIAGO;936,0;919,2;-1,80
06/01/2017;UHE GARIBALDI;135,3;165,6;22,38
06/01/2017;UHE JAYME CANET;235,6;251,9;6,92
06/01/2017;USI PAR.SOUZA;146,7;140,0;-4,59
06/01/2017;AGUA VERMELHA;728,9;740,1;1,54
06/01/2017;AIMORES;78,9;74,1;-6,11
06/01/2017;ALTO SUCURIU;23,3;23,3;0,00
06/01/2017;AMADORAGUIAR1;127,3;130,7;2,71
06/01/2017;AMADORAGUIAR2;108,7;113,4;4,33
06/01/2017;BAGUARI;42,4;40,9;-3,54
06/01/2017;BARIRI;82,9;83,5;0,74
06/01/2017;BARRA BONITA;56,2;55,6;-0,98
06/01/2017;BATALHA;10,0;10,0;0,30
06/01/2017;C. DOURADA;330,7;286,3;-13,44
06/01/2017;CACONDE;28,1;28,1;0,00
06/01/2017;CAMARGOS;9,3;9,3;0,76
06/01/2017;CANA BRAVA;127,8;128,3;0,46
06/01/2017;CANOAS I;80,0;79,5;-0,59
06/01/2017;CANOAS II;70,0;68,8;-1,74
06/01/2017;CAPIVARA;382,0;388,5;1,70
06/01/2017;CHAVANTES;371,5;367,8;-1,00
06/01/2017;CONJUNTO HIDRELETRICO PARECIS;98,6;115,4;17,05
06/01/2017;CONJUNTO HIDRELETRICO SANTA CABECA;28,7;28,7;0,00
06/01/2017;CORUMBA;143,8;145,8;1,38
06/01/2017;CORUMBA III;34,0;36,2;6,38
06/01/2017;CORUMBA IV;40,4;41,8;3,37
06/01/2017;DARDANELOS;259,0;256,1;-1,12
06/01/2017;E.CUNHA;39,7;37,4;-5,74
06/01/2017;EMBORCACAO;223,7;217,8;-2,66
06/01/2017;ESPORA;24,3;23,7;-2,35
06/01/2017;FONTES NOVA;109,4;112,0;2,33
06/01/2017;FUNIL;85,6;85,2;-0,40
06/01/2017;FUNIL GRANDE;57,0;57,0;0,05
06/01/2017;FURNAS;629,8;595,5;-5,43
06/01/2017;GUAPORE;51,3;53,9;5,06
